id,redshift,chandra_Lx,chi2,H10_flux,H9_flux,H8_flux,Heps_flux,Hdelta_flux,Hgamma_flux,Hbeta_flux,Halpha_flux,[OII]3726_flux,[OII]3729_flux,[SII]6716_flux,[SII]6731_flux,[NeIII]3968_flux,[NeIII]3869_flux,HeII4687_flux,HeI5876_flux,[OIII]5007_d_flux,[OI]6300_d_flux,[NII]6583_d_flux,Hgamma_b_flux,Hbeta_b_flux,Halpha_b_flux,H10_err,H9_err,H8_err,Heps_err,Hdelta_err,Hgamma_err,Hbeta_err,Halpha_err,[OII]3726_err,[OII]3729_err,[SII]6716_err,[SII]6731_err,[NeIII]3968_err,[NeIII]3869_err,HeII4687_err,HeI5876_err,[OIII]5007_d_err,[OI]6300_d_err,[NII]6583_d_err,Hgamma_b_err,Hbeta_b_err,Halpha_b_err,H10_ew,H9_ew,H8_ew,Heps_ew,Hdelta_ew,Hgamma_ew,Hbeta_ew,Halpha_ew,[OII]3726_ew,[OII]3729_ew,[SII]6716_ew,[SII]6731_ew,[NeIII]3968_ew,[NeIII]3869_ew,HeII4687_ew,HeI5876_ew,[OIII]5007_d_ew,[OI]6300_d_ew,[NII]6583_d_ew,Hgamma_b_ew,Hbeta_b_ew,Halpha_b_ew
CDF-S_0121,2.8248,3.25E+42,0.762444055,68.35813827,0,182.6066829,349.5099188,127.1021671,44.20950414,0,3373.876379,117.4918297,0,397.6457746,120.0689705,4.831653248,0,205.9241384,0,492.7255033,366.6433462,452.4183307,0,1002.65595,1252.573781,207.3505792,339.9384313,377.3825606,1802.583806,85.28654176,149.058839,160.5919913,332.8076382,1548.234477,1578.152118,322.3592004,306.8184116,1819.222649,516.5721545,78.21279993,83.12812646,101.7662228,104.7464308,362.2793709,233.1319226,258.3501342,288.2761966,9.701692145,0,25.47704727,49.99817735,13.60208437,3.12459891,0,132.6560785,20.79686547,0,13.880947,4.08373792,0.691178828,0,12.92347547,0,27.75582606,13.82468881,17.78845306,0,75.51694861,49.24944106
CDF-S_0084,2.821114286,1.33E+43,40.40049104,147.8768778,57.65810556,351.9990266,697.4006534,289.9916391,0,0,95.58066566,0,0,0,10.69016046,0,0,67.4875664,0,127.378319,95.04983175,393.6086338,0,0,0,17.09044812,24.07101252,27.77968451,173.6380743,11.11059566,34.91782258,25.23458352,31.01630842,139.7078046,142.0977668,28.07066462,27.96240997,174.4771088,34.11146337,10.33966918,9.180438122,10.98177702,10.89991921,33.64750966,43.76361503,34.52549973,29.00833375,2.396289711,0.886976521,4.736505375,9.155221379,3.407326378,0,0,1.570123281,0,0,0,0.169159264,0,0,0.708005766,0,1.444772601,1.416809827,6.465890099,0,0,0
AEGIS_0739,2.7381,1.04E+43,0.586131991,256.7050717,0,115.4885986,0,195.4992374,0,38.05232944,530.9744238,208.2734664,156.8555762,201.9935594,110.6470086,0,50.98441627,0,0,197.8433592,231.8784148,305.0788115,0,3549.255373,3301.449289,114.343209,204.631002,221.8394876,1013.395912,50.15359034,66.89009792,67.90525141,177.2242452,868.8854939,881.2550836,164.9545817,160.3395166,1029.182077,303.4967057,58.42013104,42.41968051,71.6218045,60.07225125,192.6805718,146.1057275,196.3389161,191.4664137,15.8941256,0,5.863794965,0,7.497450613,0,1.562078814,25.28430372,13.50819663,10.17333605,9.955114549,5.453162211,0,2.710162669,0,0,7.751653383,9.661826041,15.2685668,0,145.6997957,157.210673
AEGIS_0804,2.728666667,8.13E+43,0.698557215,318.2346649,0,1445.188314,337.5552217,350.3763057,0,0,0,0,364.2097282,31.11903052,338.5462049,719.3043762,579.3136621,216.4600367,0,2290.945803,365.1567531,4658.848424,0,10462.80538,3168.00074,411.7114674,602.6755963,670.8204446,3818.712126,200.3337308,274.6113789,297.4221026,624.6740304,3417.072398,3454.050216,583.3292836,553.16611,3851.572878,877.5965317,185.9552467,155.0275434,303.5672963,202.1708085,709.0710716,488.3803096,700.920947,655.6776453,5.328284771,0,25.85159893,5.874736509,5.396844466,0,0,0,0,5.684019628,0.762403717,8.294245703,12.51861446,10.36279099,4.023170411,0,55.63270817,8.254110578,116.2328647,0,332.3374493,79.03794413
CDF-S_0166,2.6962,1.04E+43,0.527365717,115.4181969,54.08053113,0,3.882136571,7.925213749,51.33954238,0,694.0767357,0,202.9569769,0,155.601069,248.336091,19.92525887,104.5941416,0,1376.374405,245.6548385,1077.131243,0,2714.50229,0,108.8100059,178.6515788,195.5799885,897.1417789,47.03597788,64.69686764,85.22624877,240.793261,780.8922726,789.6360179,205.8824731,201.16262,901.952529,267.9862663,55.19151018,46.68780629,83.91098001,65.1164566,276.6633943,128.4339059,213.3036531,212.1212683,15.55794756,6.735337844,0,0.419489659,0.62168085,3.933591844,0,28.47037719,0,36.798433,0,6.233529344,26.83430125,2.112825622,7.144995882,0,97.52311953,10.34959875,46.03677596,0,246.7081966,0
AEGIS_0389,2.6959,9.17E+44,28.95786023,0,2161.314272,0,691.0748086,304.3226996,1534.030035,890.4437691,692.8813706,0,1796.905983,0,1554.331338,0,2061.881818,0,513.2403563,12192.21955,1234.277275,6064.927501,1555.534392,3223.511699,17938.61677,103.9750708,171.972247,177.1260294,750.5180756,41.17773883,133.5774847,102.2858833,149.9548086,759.0786627,768.929153,131.2092179,129.9384607,764.1715312,254.7410422,37.00128498,33.19517428,35.74684724,59.63516412,154.0843437,167.8032221,130.5534669,124.5699002,0,14.14908195,0,4.778847503,2.211393547,12.26901046,7.102611167,9.980793365,0,11.66648136,0,23.24426793,0,13.4177558,0,5.802753872,101.8042729,16.22579909,88.71217826,12.44100004,25.71229199,258.4015603
CDF-S_0090,2.6935,2.68E+42,0.431728477,nan,nan,nan,nan,nan,nan,269.8881666,1561.919325,nan,nan,502.6488265,310.6624246,nan,nan,0,58.1450731,610.3957386,308.8876202,806.592846,nan,0,1249.503597,nan,nan,nan,nan,nan,nan,72.98472552,84.26793295,nan,nan,43.33647357,42.82113166,nan,nan,61.81852666,39.19391086,61.91672607,47.42666114,113.6179241,nan,135.0387246,231.7904085,nan,nan,nan,nan,nan,nan,48.10824582,161.9187279,nan,nan,34.68759163,21.23607474,nan,nan,0,5.058872239,66.65988932,26.06073866,61.10145259,nan,0,129.5316792
CDF-S_0378,2.6857,-1.30E+43,0.513030094,172.7217927,65.06649458,0,310.9528448,173.2246841,0,158.8954532,0,0,182.8787236,290.3774348,0,0,21.5611389,187.1758348,0,330.0146436,1.891974292,497.2625986,0,0,464.2570435,153.2100939,280.2453275,311.0143685,1352.875902,70.29420139,154.1669543,143.6451376,522.2263749,1168.403147,1188.475625,253.7504577,247.2252929,1380.985833,426.6583931,67.43411855,62.41798607,69.71917199,79.58923606,434.046613,155.3298556,146.8949581,176.3409458,10.72170707,3.866587029,0,15.17432864,6.560857464,0,5.233929649,0,0,12.83646059,9.116481346,0,0,1.150091085,5.883782703,0,10.34764799,0.05783391,15.8953242,0,0,14.35840534
CDF-S_0231,2.675,2.44E+42,0.362495717,0,685.3326393,253.8170814,0,281.9517912,0,126.8135575,197.1490865,0,278.3832084,136.0888108,0,363.6338359,298.5547672,209.2108851,184.0458357,596.5164642,134.7740026,0,0,486.7673151,3042.278009,315.1176598,483.3411715,553.9508417,3192.789173,179.9847815,301.720666,249.7990986,692.093632,2722.6462,2738.293808,450.9643465,443.5111821,3170.198412,727.9743275,161.339496,126.0949867,160.0504381,174.0639157,621.7037093,329.8745535,286.3381436,284.1706581,0,62.44353004,20.71909031,0,15.04660834,0,6.822394091,7.73691579,0,23.55263703,4.906886787,0,25.76872416,24.37102795,10.35749398,6.653302564,26.23441472,5.038821168,0,0,26.18740866,119.3911125
CDF-S_0446,2.6726,8.20E+42,1.172643105,28.56550442,94.76193041,0,0,114.0966625,156.318479,0,0,1592.75557,0,0,1544.065714,191.323933,0,87.2597605,78.60949375,4522.960173,118.4674172,9025.310385,0,2082.234649,3863.559241,326.3033355,540.4453615,592.5266136,2751.891267,125.3663864,613.4456459,503.4073989,499.2048681,2389.504854,2422.147073,421.211168,411.3746673,2778.560217,819.4132403,126.2817701,114.4896013,133.8231166,162.6517308,537.927137,709.331992,598.0014706,569.8719898,0.239980363,0.760250412,0,0,0.920425059,1.333978031,0,0,14.13467271,0,0,26.00929401,1.538762939,0,0.794707345,1.012652366,45.71104397,1.748672764,145.7595749,0,20.0207912,62.08344662
